temperatura,presion,densidadl,volumeng,entalpial,entalpiag,entropial,entropiag
-50,29.5,1446.3,0.6056,135.7,367.6,0.741,1.780
-48,33.1,1440.6,0.5436,138.2,368.9,0.752,1.777
-46,37.0,1434.9,0.4891,140.6,370.2,0.763,1.774
-44,41.4,1429.2,0.4410,143.1,371.5,0.774,1.770
-42,46.1,1423.5,0.3985,145.6,372.7,0.785,1.767
-40,51.2,1417.7,0.3608,148.1,374.0,0.796,1.764
-38,56.9,1411.9,0.3273,150.7,375.3,0.806,1.761
-36,62.9,1406.1,0.2975,153.2,376.5,0.817,1.759
-34,69.6,1400.2,0.2709,155.7,377.8,0.828,1.756
-32,76.7,1394.3,0.2471,158.2,379.1,0.838,1.754
-30,84.4,1388.4,0.2258,160.8,380.3,0.849,1.751
-28,92.8,1382.4,0.2067,163.3,381.6,0.859,1.749
-26,101.7,1376.5,0.1895,165.9,382.8,0.869,1.747
-24,111.4,1370.4,0.1739,168.5,384.1,0.880,1.745
-22,121.7,1364.4,0.1600,171.1,385.3,0.890,1.743
-20,132.8,1358.3,0.1473,173.6,386.5,0.900,1.741
-18,144.7,1352.1,0.1358,176.2,387.8,0.910,1.740
-16,157.4,1345.9,0.1254,178.8,389.0,0.921,1.738
-14,170.9,1339.7,0.1160,181.4,390.2,0.931,1.736
-12,185.4,1333.4,0.1074,184.1,391.4,0.941,1.735
-10,200.7,1327.1,0.0995,186.7,392.7,0.951,1.733
-8,217.1,1320.8,0.0924,189.3,393.9,0.961,1.732
-6,234.4,1314.3,0.0858,192.0,395.1,0.971,1.731
-4,252.9,1307.9,0.0798,194.6,396.2,0.980,1.729
-2,272.4,1301.4,0.0743,197.3,397.4,0.990,1.728
0,293.0,1294.8,0.0693,200.0,398.6,1.000,1.727
2,314.8,1288.1,0.0646,202.7,399.8,1.010,1.726
4,337.9,1281.4,0.0603,205.4,400.9,1.019,1.725
6,362.2,1274.7,0.0564,208.1,402.1,1.029,1.724
8,387.9,1267.9,0.0528,210.8,403.2,1.039,1.723
10,414.9,1261.0,0.0494,213.6,404.3,1.048,1.722
12,443.3,1254.0,0.0463,216.3,405.4,1.058,1.721
14,473.2,1246.9,0.0434,219.1,406.5,1.068,1.720
16,504.6,1239.8,0.0407,221.9,407.6,1.077,1.720
18,537.5,1232.6,0.0383,224.7,408.7,1.087,1.719
20,572.1,1225.3,0.0360,227.5,409.7,1.096,1.718
22,608.3,1218.0,0.0338,230.3,410.8,1.106,1.717
24,646.2,1210.5,0.0318,233.1,411.8,1.115,1.716
26,685.8,1202.9,0.0300,236.0,412.8,1.125,1.716
28,727.3,1195.2,0.0282,238.8,413.8,1.134,1.715
30,770.6,1187.5,0.0266,241.7,414.8,1.143,1.714
32,815.9,1179.6,0.0251,244.6,415.8,1.153,1.714
34,863.1,1171.6,0.0237,247.5,416.7,1.162,1.713
36,912.4,1163.4,0.0224,250.5,417.6,1.172,1.712
38,963.7,1155.2,0.0211,253.4,418.5,1.181,1.712
40,1017.1,1146.7,0.0200,256.4,419.4,1.190,1.711
42,1072.8,1138.2,0.0189,259.4,420.3,1.200,1.710
44,1130.7,1129.5,0.0178,262.4,421.1,1.209,1.710
46,1190.9,1120.6,0.0169,265.5,421.9,1.219,1.709
48,1253.6,1111.5,0.0159,268.5,422.7,1.228,1.708
50,1318.6,1102.3,0.0151,271.6,423.4,1.237,1.707
52,1386.2,1092.9,0.0143,274.7,424.1,1.247,1.706
54,1456.3,1083.2,0.0135,277.9,424.8,1.256,1.705
56,1529.0,1073.4,0.0128,281.1,425.4,1.266,1.704
58,1604.5,1063.2,0.0121,284.3,426.0,1.275,1.703
60,1682.8,1052.9,0.0114,287.5,426.6,1.285,1.702
62,1763.8,1042.2,0.0108,290.8,427.1,1.294,1.701
64,1847.9,1031.3,0.0102,294.1,427.6,1.304,1.700
66,1934.9,1020.0,0.0097,297.4,428.0,1.314,1.699
68,2025.0,1008.3,0.0091,300.8,428.3,1.323,1.697
70,2118.2,996.3,0.0086,304.3,428.6,1.333,1.695
